VENDOR,SUPPLIER CODE,ITEM CODE,SHORT DESCRIPTION,NOTES,NZ RRP EXCL,NZ DEALER EXCL
Global Cache,GC-FLC-SL-485,GC-FLC-SL-485,Flex Link Serial Cable [RS485]: Single RS232 port cable for iTach Flex Module,,$89,$62
Global Cache,GC-FLC-SL-232,GC-FLC-SL-232,Flex Link Serial Cable [RS232]: Single RS232 port cable for iTach Flex Module [old code FLC-SL],,$66,$47
Global Cache,GC-FLC-SL-MJ,GC-FLC-SL-MJ,Flex Link Serial Cable [mini jack]: Single RS232 port cable for iTach Flex Module,,$66,$47
Global Cache,GC-FLC-RS,GC-FLC-RS,Flex Link Relay & Sensor Cable: Quad Relay output & Quad Sensor input cable for iTach Flex Module,,$177,$125
Global Cache,GC-FLC-BL,GC-FLC-BL,Flex Link Blaster Cable: Single Infra Red blaster port cable for iTach Flex Module,,$33,$23
Global Cache,GC-FLC-3E,GC-FLC-3E,Flex Link 3-Emitter Cable: Triple Infra Red emitter port cable for iTach Flex Module,,$22,$15
Global Cache,GC-FLC-2E1B,GC-FLC-2E1B,Flex Link 2E1B Cable: Double Infra Red emitter & Single blaster port cable for iTach Flex Module,,$42,$30
Global Cache,GC-SC1,GC-SC1,Contact Closure Sensor: Power Current sensor for dry contact sensing applications,,$92,$65
Global Cache,GC-SP1 ,GC-SP1 ,"AC/DC Voltage Sensor: Power Current sensor, up to 24VDC sensing applications",,$102,$72
Marshall Electronics,0032-1301-A1,0032-1301-A1,VM mount for V-LCD70-AFHD,MONITOR ACCESSORIES,$297,$198
Marshall Electronics,AP-AES-TD-DB25-XLR-05,AP-AES-TD-DB25-XLR-05,"AES DB25 to XLR interface, Digi format, 5 ft ",BROADCAST AUDIO ACCESSORIES,$687,$458
Marshall Electronics,AP-DB25-XLRF-05,AP-DB25-XLRF-05,"DB25 to XLRF 8 channel for audio modules, 5 ft",BROADCAST AUDIO ACCESSORIES,$664,$442
Marshall Electronics,AP-DB25-XLRM-05,AP-DB25-XLRM-05,"DB25 to XLRM 8 Channel for audio modules, 5 ft",BROADCAST AUDIO ACCESSORIES,$630,$420
Marshall Electronics,AR-AM4-BG-2,AR-AM4-BG-2,4x1 Stereo Analog Audio Monitoring system,ANALOG MONITORS,"$2,184","$1,456"
Marshall Electronics,ARDM-3GSDI,ARDM-3GSDI,1 3G SDI/HDSDI input w/loop through audio module,BROADCAST AUDIO ACCESSORIES,"$1,616","$1,077"
Marshall Electronics,AR-DM51-B,AR-DM51-B,1RU Digital Audio Rack-Mount monitor w/LCD,DIGITAL MONITORS,"$3,736","$2,491"
Marshall Electronics,AR-DM61-BT,AR-DM61-BT,Multi-Channel Digital Audio Monitor,DIGITAL MONITORS,"$10,984","$7,323"
Marshall Electronics,AR-DM61-BT-64DT,AR-DM61-BT-64DT,Multi-Ch Digital Audio Monitor with Dante 64 ch.,DIGITAL MONITORS,"$13,758","$9,172"
Marshall Electronics,ARDM61-BT-DB,ARDM61-BT-DB,Multi-Channel Digital Audio Monitor with Dolby Module ,DIGITAL MONITORS,"$17,417","$11,612"
Marshall Electronics,ARDM-AA-8XLR,ARDM-AA-8XLR,8 Balanced Analog Audio Inputs (DB-25),BROADCAST AUDIO ACCESSORIES,"$1,616","$1,077"
Marshall Electronics,ARDM-AES-4OUT,ARDM-AES-4OUT,4 Unbalanced AES/EBU Outputs,BROADCAST AUDIO ACCESSORIES,"$1,616","$1,077"
Marshall Electronics,ARDM-AES-BNC,ARDM-AES-BNC,4unbalnc(BNC)AES/EBUinputs w/loopthru audio module,BROADCAST AUDIO ACCESSORIES,"$1,616","$1,077"
Marshall Electronics,ARDM-AES-XLR,ARDM-AES-XLR,4 balnc(XLR)AES/EBU inputs w/loopthru audio module,BROADCAST AUDIO ACCESSORIES,"$1,616","$1,077"
Marshall Electronics,ARDM-D1100,ARDM-D1100,Dolby Card,BROADCAST AUDIO ACCESSORIES,"$7,813","$5,209"
Marshall Electronics,ARDM-D64,ARDM-D64,Dante 64x64 card,BROADCAST AUDIO ACCESSORIES,"$4,363","$2,909"
Marshall Electronics,C1670-8MP,C1670-8MP,8MP 16~70mm F1.4 Varifocal C mount lens ,PRO SERIES LENSES,$772,$515
Marshall Electronics,CS1150-8MP,CS1150-8MP,8MP 11~50mm F1.4 Varifocal CS mount lens,PRO SERIES LENSES,$792,$528
Marshall Electronics,CS-3.2-12MP,CS-3.2-12MP,3.2mm CS 12MP 4K Lens,PRO SERIES LENSES,$284,$190
Marshall Electronics,CS-3610-8MP,CS-3610-8MP,3.6~10mm 8MP Varifocal CS Lens,PRO SERIES LENSES,$536,$357
Marshall Electronics,CS-3816-8MP-V2,CS-3816-8MP-V2,8MP CS Varifocal 3.8 ~16mm (version 2),PRO SERIES LENSES,"$1,386",$924
Marshall Electronics,CS-5.0-12MP,CS-5.0-12MP,5.0mm CS 12MP 4K Lens,PRO SERIES LENSES,$256,$171
Marshall Electronics,CV-0622-5MP,CV-0622-5MP,6~22mm F1.6 M12 5MP Varifocal,PRO SERIES LENSES,$129,$86
Marshall Electronics,CV226,CV226,Compact 1080p Lipstick ALL-Weather Camera SDI,FIXED CAMERAS - Special price! Limited stock available!,$891,$580
Marshall Electronics,CV226-NDF,CV226-NDF,CV226 ND Filter Caps (3-pack),CAMERA ACCESSORIES,$305,$203
Marshall Electronics,CV228,CV228,Lipstick 3GSDI Camera,FIXED CAMERAS,"$1,195",$797
Marshall Electronics,CV-2812-3MP,CV-2812-3MP,2.8~12mm F1.4 M12 3MP Varifocal,PRO SERIES LENSES,$68,$45
Marshall Electronics,CV348,CV348,Compact 3GSDI Camera ,FIXED CAMERAS,"$1,426",$950
Marshall Electronics,CV355-10X,CV355-10X,10X Zoom Camera 3GSDI/HDMI (HD60),ZOOM BLOCK CAMERAS,"$2,524","$1,683"
Marshall Electronics,CV355-27X-IP,CV355-27X-IP,UHD 27X with IP and 3G-SDI Box Camera,ZOOM BLOCK CAMERAS,"$5,068","$3,379"
Marshall Electronics,CV355-27X-ND3,CV355-27X-ND3,"UHD, 27x, HDMI, ND3, Box Camera",ZOOM BLOCK CAMERAS,"$6,082","$4,054"
Marshall Electronics,CV355-30X-NDI,CV355-30X-NDI,"25x Zoom Camera 3GSDI, HDMI & NDI (HD60)",ZOOM BLOCK CAMERAS,"$4,280","$2,853"
Marshall Electronics,CV366,CV366,Compact Genlock Camera (CS mount ready),FIXED CAMERAS,"$1,625","$1,083"
Marshall Electronics,CV368,CV368,Compact Global Camera (CS mount ready) with Genlock,FIXED CAMERAS,"$2,356","$1,571"
Marshall Electronics,CV370,CV370,"Compact HD Camera with NDI|HX3, SRT & HDMI",FIXED CAMERAS,"$2,122","$1,415"
Marshall Electronics,CV374,CV374,"Compact 4K (UHD60) Camera with NDI|HX3, SRT & HDMI",FIXED CAMERAS,"$2,759","$1,839"
Marshall Electronics,CV380-CS,CV380-CS,Compact 6GSDI-HDI Camera,FIXED CAMERAS,"$3,798","$2,532"
Marshall Electronics,CV420/380-CABLE,CV420/380-CABLE,Replacement Breakout Cable for CV380/CV420 cameras,CAMERA ACCESSORIES,$122,$81
Marshall Electronics,CV420-27X,CV420-27X,27X UHD60 Box Camera,ZOOM BLOCK CAMERAS,"$9,167","$6,112"
Marshall Electronics,CV420e,CV420e,Compact IP/HDI/USB Stream Camera,FIXED CAMERAS,"$3,046","$2,031"
Marshall Electronics,CV-4702.3-3MP,CV-4702.3-3MP,2.3mm 3.5MP M12 lens,PRO SERIES LENSES,$99,$66
Marshall Electronics,CV-4702.8-3MP-IR,CV-4702.8-3MP-IR,2.8mm M12 3MP IR Lens,PRO SERIES LENSES,$99,$66
Marshall Electronics,CV-4703.6-3MP,CV-4703.6-3MP,3.6mm lens for CV502/505/565 cameras,PRO SERIES LENSES,$64,$43
Marshall Electronics,CV-4706-3MP-IR,CV-4706-3MP-IR,6.0mm M12 3MP IR Lens,PRO SERIES LENSES,$99,$66
Marshall Electronics,CV-4708.0-3MP,CV-4708.0-3MP,"8.0mm, F1.8, 3MP M12 Lens",PRO SERIES LENSES,$99,$66
Marshall Electronics,CV-4712.0-3MP,CV-4712.0-3MP,"12.0mm, F1.8, 3MP M12 Lens",PRO SERIES LENSES,$99,$66
Marshall Electronics,CV-4716.0-2MP,CV-4716.0-2MP,"16.0mm, F1.8, 2MP M12 Lens",PRO SERIES LENSES,$99,$66
Marshall Electronics,CV-4804.4-12MP,CV-4804.4-12MP,12MP 4.4mm F2.7 M12 Lens,PRO SERIES LENSES,$171,$114
Marshall Electronics,CV4804-8MP,CV4804-8MP,4.0mm F1.8 8MP M12 Lens,PRO SERIES LENSES,$114,$76
Marshall Electronics,CV4808-8MP,CV4808-8MP,8.0mm F1.8 8MP M12 Lens,PRO SERIES LENSES,$114,$76
Marshall Electronics,CV4812-8MP,CV4812-8MP,12mm F1.8 8MP M12 Lens,PRO SERIES LENSES,$114,$76
Marshall Electronics,CV502WP-CBLESET,CV502WP-CBLESET,CV502-WP Replace Cable Set,CAMERA ACCESSORIES,$183,$122
Marshall Electronics,CV503WP-CBLE,CV503WP-CBLE,CV503WP Replacement Cable (compatible with CV504WP camera) & Rear CV503WP Body Panel.,CAMERA ACCESSORIES,$241,$161
Marshall Electronics,CV503WP-NDF,CV503WP-NDF,CV503-WP ND Filter Caps (3-pack),CAMERA ACCESSORIES,$325,$217
Marshall Electronics,CV504,CV504,Miniature 3GSDI Camera ,FIXED CAMERAS,"$1,448",$965
Marshall Electronics,CV504-WP,CV504-WP,All-Weather 3GSDI Camera,FIXED CAMERAS,"$1,630","$1,087"
Marshall Electronics,CV508,CV508,Micro HDMI/3GSDI Camera,FIXED CAMERAS,"$1,578","$1,052"
Marshall Electronics,CV568,CV568,Miniature Global Camera (4.4mm) with Genlock,FIXED CAMERAS,"$2,254","$1,503"
Marshall Electronics,CV570,CV570,"Miniature HD Camera with NDI|HX3, SRT & HDMI",FIXED CAMERAS,"$2,193","$1,462"
Marshall Electronics,CV574,CV574,"Miniature 4K (UHD60) Camera with NDI|HX3, SRT & HDMI",FIXED CAMERAS,"$2,739","$1,826"
Marshall Electronics,CV605-BK,CV605-BK,5x PTZ Camera IP/3GSDI (Black),PTZ CAMERAS,"$2,303","$1,535"
Marshall Electronics,CV605-CM,CV605-CM,Ceiling Mount for CV605 Cameras (Black),CAMERA ACCESSORIES,$189,$126
Marshall Electronics,CV605-U3,CV605-U3,5x PTZ Camera USB/IP/HDI (Black),PTZ CAMERAS,"$2,303","$1,535"
Marshall Electronics,CV605-U3W,CV605-U3W,5x PTZ Camera USB/IP/HDI (White),PTZ CAMERAS,"$2,303","$1,535"
Marshall Electronics,CV605-WH,CV605-WH,5x PTZ Camera IP/3GSDI (White),PTZ CAMERAS,"$2,303","$1,535"
Marshall Electronics,CV605-WM,CV605-WM,Wall Mount for CV605 Cameras (Black),CAMERA ACCESSORIES,$189,$126
Marshall Electronics,CV605-WMW,CV605-WMW,Wall Mount for CV605 Cameras (White),CAMERA ACCESSORIES,$189,$126
Marshall Electronics,CV610-U2-CM,CV610-U2-CM,Ceiling Mount for CV610-U2,CAMERA ACCESSORIES - Special price! Limited stock available! ,$111,$74
Marshall Electronics,CV610-U2-REMOTEBLK,CV610-U2-REMOTEBLK,Replacement Remote for CV610-U2/UB cams - BLACK,CAMERA ACCESSORIES,$73,$49
Marshall Electronics,CV610-U2-WM,CV610-U2-WM,Wall Mount for CV610-UB/U2,CAMERA ACCESSORIES,$122,$81
Marshall Electronics,CV610-U3-CABLE,CV610-U3-CABLE,Orig. Replace I/O Cable for CV610-U3 Cam,CAMERA ACCESSORIES,$142,$95
Marshall Electronics,CV610-U3-CM,CV610-U3-CM,Ceiling mount for CV610-U3,CAMERA ACCESSORIES,$89,$60
Marshall Electronics,CV610-U3-V2-REMOTE,CV610-U3-V2-REMOTE,Remote controller for CV610-U3-V2,CAMERA ACCESSORIES,$122,$81
Marshall Electronics,CV610-U3-WM,CV610-U3-WM,Wall mount for CV610-U3,CAMERA ACCESSORIES,$122,$81
Marshall Electronics,CV610-U3-WMW,CV610-U3-WMW,White Wall Mount for CV610-U3W-V2 cameras,CAMERA ACCESSORIES,$122,$81
Marshall Electronics,CV610-U3W-V2,CV610-U3W-V2,"Compact USB3.0/2.0 10x Optical Zoom AF (3.8~38mm, F1.8~F3.4) UCC Camera with USB 3.0/2.0, HDMI outputs – Built-in Mic & audio Input – AOV: 64°(wide)~8°(tele) ",PTZ CAMERAS - Special price! Limited stock available! ,"$2,375","$1,827"
Marshall Electronics,CV610-UB,CV610-UB,"Compact USB 2.0 PTZ 10x Optical Zoom AF 5MP UCC, AOV: 62° (wide) – Visca & UVC PTZ control, 128 presets - comes with Wall Mount in box",PTZ CAMERAS - Special price! Limited stock available! ,"$1,119",$861
Marshall Electronics,CV612-TBI,CV612-TBI,Compact 12x Auto-Track PTZ (Black),PTZ CAMERAS,"$2,803","$1,868"
Marshall Electronics,CV612-TWI,CV612-TWI,Compact 12x Auto-Track PTZ (White),PTZ CAMERAS,"$2,803","$1,868"
Marshall Electronics,CV620-BI2,CV620-BI2,"HD PTZ 20x Camera with 3GSDI, HDMI, USB 3.0 and IP (Black)",PTZ CAMERAS,"$5,808","$3,872"
Marshall Electronics,CV620-CABLE-06,CV620-CABLE-06,RS232 (VGA/8-pin) to CAT (RJ45) Cable Adapters (controller side) for VS-PTC-200 controllers,CAMERA ACCESSORIES,$174,$116
Marshall Electronics,CV620-CABLE-07,CV620-CABLE-07,RS232 (8-pin) to CAT (RJ45) Cable Adapters (camera side),CAMERA ACCESSORIES,$174,$116
Marshall Electronics,CV620-PWR-CBLE,CV620-PWR-CBLE,Pwr Crd/Adptr CV620 cams,CAMERA ACCESSORIES,$203,$135
Marshall Electronics,CV620-REMOTE,CV620-REMOTE,Remote for the CV620 and CV612HT-4K,CAMERA ACCESSORIES,$142,$95
Marshall Electronics,CV620-WI2,CV620-WI2,"HD PTZ 20x Camera with 3GSDI, HDMI, USB 3.0 and IP (White)",PTZ CAMERAS,"$5,808","$3,872"
Marshall Electronics,CV625-TB,CV625-TB,25x PTZ Track & Follow Camera (Black),PTZ CAMERAS,"$10,084","$6,723"
Marshall Electronics,CV625-TW,CV625-TW,25x PTZ Track & Follow Camera (White),PTZ CAMERAS,"$10,084","$6,723"
Marshall Electronics,CV630-BI,CV630-BI,25x PTZ Camera IP/3GSDI/HDMI/USB (Black) ,PTZ CAMERAS,"$7,101","$4,734"
Marshall Electronics,CV630-IP,CV630-IP,25x PTZ Camera IP/3GSDI/HDMI (Black),PTZ CAMERAS,"$4,874","$3,249"
Marshall Electronics,CV630-IPW,CV630-IPW,25x PTZ Camera IP/3GSDI/HDMI (White),PTZ CAMERAS,"$4,874","$3,249"
Marshall Electronics,CV630-WI,CV630-WI,25x PTZ Camera IP/3GSDI/HDMI/USB (White),PTZ CAMERAS,"$7,101","$4,734"
Marshall Electronics,CV6XX-DH,CV6XX-DH,"Outdoor Dome Housing for CV620, CV612, & CV630 cameras (Heater/Fan) - **Power Box Mount pn: CV-H20-PWR sold separately.**",CAMERA ACCESSORIES,"$1,422",$948
Marshall Electronics,CV6XX-DH-ARM,CV6XX-DH-ARM,Standard Arm attachment for CV6XX-DH,CAMERA ACCESSORIES,$203,$135
Marshall Electronics,CV730-BHN,CV730-BHN,UHD60 PTZ 30x Camera Full-NDI (Black),PTZ CAMERAS,"$9,029","$6,019"
Marshall Electronics,CV730-BK,CV730-BK,30x PTZ Camera IP/12GSDI/HDI/USB (Black),PTZ CAMERAS,"$7,177","$4,785"
Marshall Electronics,CV730-NDIW,CV730-NDIW,30x PTZ Camera NDI/12GSDI/HDMI/USB (White),PTZ CAMERAS,"$8,119","$5,413"
Marshall Electronics,CV730-WH,CV730-WH,30x PTZ Camera IP/12GSDI/HDI/USB (White),PTZ CAMERAS,"$7,177","$4,785"
Marshall Electronics,CV730-WHN,CV730-WHN,UHD60 PTZ 30x Camera Full-NDI (White),PTZ CAMERAS,"$9,029","$6,019"
Marshall Electronics,CV-BATT-PAC,CV-BATT-PAC,Portable Camera Power Kit with 12V connector ,CAMERA ACCESSORIES,$122,$81
Marshall Electronics,CV-BSE-10FT,CV-BSE-10FT,10' Breakout Cable for CV503/504/506/508/344/346/348 cameras,CAMERA ACCESSORIES,$91,$61
Marshall Electronics,CV-BSE-CBLE,CV-BSE-CBLE,"Orig. 2’ Replace Cable for CV503~508, 570/574, 344~348, CV355-10X & 370/374",CAMERA ACCESSORIES,$101,$67
Marshall Electronics,CV-GNLK-CBLE,CV-GNLK-CBLE,"Orig Breakout Cable for Genlock Cameras (CV565, CV566, CV568, CV365, CV366, CV368)",CAMERA ACCESSORIES,$122,$81
Marshall Electronics,CV-H20-HF,CV-H20-HF,Outdoor IP68 Universal Weatherproof Housing (Heater/Fan) - **Power Box Mount pn: CV-H20-PWR sold separately.** Added: cable seal & caps x2,CAMERA ACCESSORIES,$601,$401
Marshall Electronics,CV-H20-HFL,CV-H20-HFL,"Large Weatherproof Camera Housing for CV420-18X, CV355-30X, CV420-30X cameras.",CAMERA ACCESSORIES,$812,$542
Marshall Electronics,CV-H20-PWR,CV-H20-PWR,Power Box & Mount Enclosure for CV-6XX-DH & CV-H20-HF Housing.,CAMERA ACCESSORIES,$439,$292
Marshall Electronics,CV-HIROS-PWR,CV-HIROS-PWR,Hirose Power Cable for CV505/565/345/365,CAMERA ACCESSORIES,$81,$54
Marshall Electronics,CV-LENS-PACK,CV-LENS-PACK,"M12 Lens Pack with Case; 2.3mm, 2.8mm, 6.0mm, 8.0mm, 12.0mm, 16mm",PRO SERIES LENSES,$512,$341
Marshall Electronics,CVM-11,CVM-11,"Articulating 11"" Arm with 1/4""-20",CAMERA ACCESSORIES,$119,$80
Marshall Electronics,CVM-12,CVM-12,"Mini Clamp w female 1/4""-20",CAMERA ACCESSORIES,$83,$56
Marshall Electronics,CV-M12-RING-SET,CV-M12-RING-SET,M12 Spring Washer & Tension Ring,CAMERA ACCESSORIES,$8,$5
Marshall Electronics,CVM-13,CVM-13,Gooseneck 10-inch Flexible Arm,CAMERA ACCESSORIES,$51,$34
Marshall Electronics,CVM-14,CVM-14,Table-top Tripod Stand,CAMERA ACCESSORIES,$60,$40
Marshall Electronics,CVM-16,CVM-16,Desktop Tripod Stand,CAMERA ACCESSORIES,$205,$136
Marshall Electronics,CVM-18,CVM-18,"Pole Clamp (3"") Camera Mount (1/4"" 20) [3"" Pole Clamp to 1/4""-20] ",CAMERA ACCESSORIES,$128,$85
Marshall Electronics,CVM-19,CVM-19,Wall Mount Plate,CAMERA ACCESSORIES,$43,$28
Marshall Electronics,CVM-2,CVM-2,"Cold Shoe to 1/4""-20 Male",CAMERA ACCESSORIES,$51,$34
Marshall Electronics,CVM-20,CVM-20,Clamp Ball Mount,CAMERA ACCESSORIES,$128,$85
Marshall Electronics,CVM-22,CVM-22,"Pole/Tree 1/4""-20 Mount with Strap ",CAMERA ACCESSORIES,$277,$185
Marshall Electronics,CVM-25,CVM-25,58” floor Tri-pod for cameras.,CAMERA ACCESSORIES,$170,$113
Marshall Electronics,CVM-26,CVM-26,Compact and Miniature housing and Sun hood. Compatible with Compact and Miniature cameras ,CAMERA ACCESSORIES,$406,$271
Marshall Electronics,CVM-5,CVM-5,"Universal 1/4""-20 Cam Clip",CAMERA ACCESSORIES,$171,$114
Marshall Electronics,CVM-6,CVM-6,"Adhesive Camera Mount KIT: Lipstick camera holder + 1/4""-20 ball mount + two (2) adjustable knuckle arms + two (2) adhesive base mount",CAMERA ACCESSORIES,$107,$71
Marshall Electronics,CVM-7,CVM-7,Articulating Arm 7”,CAMERA ACCESSORIES,$107,$71
Marshall Electronics,CVM-9,CVM-9,"Marshall 1/4""-20 Suction Mount",CAMERA ACCESSORIES,$85,$57
Marshall Electronics,CV-MICRO-J2,CV-MICRO-J2,Micro Joystick PLUS (V2) for PT Head,CAMERA ACCESSORIES,"$1,828","$1,219"
Marshall Electronics,CV-NDI-CBLE,CV-NDI-CBLE,"Replacement cable for CV370,374,570,574",CAMERA ACCESSORIES,$102,$68
Marshall Electronics,CV-PTZ-BOX,CV-PTZ-BOX,IN-WALL PTZ Camera Box Enclosure,CAMERA ACCESSORIES,$609,$406
Marshall Electronics,CV-PTZ-DCM,CV-PTZ-DCM,DROP-CEILING PTZ Camera Support Bracket,CAMERA ACCESSORIES,$223,$149
Marshall Electronics,CV-PTZ-WM,CV-PTZ-WM,Wall Mount (Black) for CV612/CV620/CV630/CV730 cameras,CAMERA ACCESSORIES,$944,$630
Marshall Electronics,CV-PTZ-WMW,CV-PTZ-WMW,"Wall Mount (White) for CV612/CV620/CV630/CV730 cameras, Metal",CAMERA ACCESSORIES,$944,$630
Marshall Electronics,CV-RCP-V2,CV-RCP-V2,Touchscreen RCP Vers. 2,CONTROLLERS,"$2,835","$1,890"
Marshall Electronics,CV-RCP-V2-RMK,CV-RCP-V2-RMK,RCP-V2 Rack Mount Kit,CAMERA ACCESSORIES,$244,$162
Marshall Electronics,CV-USB-RS485,CV-USB-RS485,USB to RS485 Adapter,CAMERA ACCESSORIES,$131,$87
Marshall Electronics,GL-ARC,GL-ARC,Anaglyph Red/Cyan Glasses for Orchid Monitors,MONITOR ACCESSORIES,$52,$35
Marshall Electronics,M-AC-E6,M-AC-E6,E6 Accessories Kit,MONITOR ACCESSORIES,$201,$134
Marshall Electronics,M-AC-NEL15,M-AC-NEL15,NEL 15 Accessories Kit,MONITOR ACCESSORIES,$201,$134
Marshall Electronics,Marshall StreamDesk,Marshall StreamDesk,"StreamDesk – Camera, microphone, stand and USB converter needed to stream USB to your favorite websites.",FIXED CAMERAS,"$3,057","$2,038"
Marshall Electronics,MD-3GE,MD-3GE,3GSDI Input module with Enhanced features,MONITOR ACCESSORIES,"$1,253",$836
Marshall Electronics,MD-3GSDI-B,MD-3GSDI-B,"Single 3GSDI Input Module for V-MD434, MD503",MONITOR ACCESSORIES,"$1,253",$836
Marshall Electronics,MD-DVII-B,MD-DVII-B,"DVI-I Input Module for 434, 503 MD series LCD rack",MONITOR ACCESSORIES,$651,$434
Marshall Electronics,MD-HDIX2-A,MD-HDIX2-A,Dual HDII Input Module for large MD monitors,MONITOR ACCESSORIES,$651,$434
Marshall Electronics,MDO-3G,MDO-3G,Dual Output 3GSDI module,MONITOR ACCESSORIES,"$1,253",$836
Marshall Electronics,MD-TC-A,MD-TC-A,Telecube I/O Base Module for Large MD Monitors,MONITOR ACCESSORIES,"$1,118",$745
Marshall Electronics,MD-TC-B,MD-TC-B,Telecube I/O Base Module for Small MD Monitors,MONITOR ACCESSORIES,"$1,118",$745
Marshall Electronics,ML-454-V3,ML-454-V3,Quad 4.5” 2RU Rack Mount monitor,RACKMOUNT MONITORS,"$6,414","$4,276"
Marshall Electronics,ML-503,ML-503,"Triple 5"" 1920X1080 LCD 2RU Rack Mount Monitor",RACKMOUNT MONITORS,"$5,340","$3,560"
Marshall Electronics,ML-702-V2,ML-702-V2,Dual 7 in. 1920 x 1200 LCD 3RU Rack Mount Monitor,RACKMOUNT MONITORS,"$3,270","$2,180"
Marshall Electronics,M-RM19,M-RM19,"Rack Mount Bracket for 19"" Lynx Monitor",MONITOR ACCESSORIES,$157,$105
Marshall Electronics,M-SM03,M-SM03,Monitor-shoe mount,MONITOR ACCESSORIES,$61,$41
Marshall Electronics,M-SUN6,M-SUN6,"Sun Hood for M-CT6 6.2"" monitor",MONITOR ACCESSORIES,$70,$47
Marshall Electronics,M-SUN7-02,M-SUN7-02,"Sun hood for 7"" Monitor M-CT7",MONITOR ACCESSORIES,$70,$47
Marshall Electronics,MXL AC-360-CM,MXL AC-360-CM,AC360 Ceiling Mount Kit ,UCC ACCESSORIES,$83,$55
Marshall Electronics,MXL AC-370-U,MXL AC-370-U,Universal Black 360 degree USB Conferencing Mic Kit,UCC MICROPHONES,"$1,448",$965
Marshall Electronics,MXL AC-44,MXL AC-44,Mini tri-capsule USB mic with 3.5mm out - Black,UCC MICROPHONES,$179,$120
Marshall Electronics,MXL AC-44 COBALT,MXL AC-44 COBALT,Mini tri-capsule USB mic with 3.5mm out - Cobalt Blue,UCC MICROPHONES - Special price for SOH,$228,$116
Marshall Electronics,MXL AC-44 WHITE,MXL AC-44 WHITE,Mini tri-capsule USB mic with 3.5mm out - White,UCC MICROPHONES - Special price for SOH,$228,$116
Marshall Electronics,MXL-AC360404-CABLE,MXL-AC360404-CABLE,10ft USB Cable to connect AC-404 to AC-360 as EXT units.,UCC ACCESSORIES,$32,$21
Marshall Electronics,MXL-AC-360-Z V2,MXL-AC-360-Z V2,Black 360 degree USB Conferencing Mic Kit *For Zoom Rooms Only* - Black,UCC MICROPHONES - Special price for SOH,$984,$695
Marshall Electronics,MXL-AC-360-Z V2WHITE,MXL-AC-360-Z V2WHITE,White 360 degree USB Conferencing Mic Kit *For Zoom Rooms Only* - White,UCC MICROPHONES - Special price for SOH,$984,$695
Marshall Electronics,MXL-AC-400,MXL-AC-400,USB Gooseneck microphone for Internet conferencing,MULTIMEDIA,$129,$86
Marshall Electronics,MXL-AC-404,MXL-AC-404,"USB conferencing mic for Skype, AIM, Yahoo & MSN - Black",UCC MICROPHONES,$152,$101
Marshall Electronics,MXL-AC-404-LED,MXL-AC-404-LED,USB Boundary Mic with color changing LED base.,UCC MICROPHONES - Special price for SOH,$152,$101
Marshall Electronics,MXL-AC-404-WHITE,MXL-AC-404-WHITE,"White USB conferencing mic for Skype, AIM, Yahoo & MSN - White",UCC MICROPHONES,$152,$101
Marshall Electronics,MXL-AC-404-Z,MXL-AC-404-Z,AC-404 Installer Kit for Zoom Rooms,UCC MICROPHONES - Special price for SOH,$152,$101
Marshall Electronics,MXL-AC-40-EXT,MXL-AC-40-EXT,Goose Neck Extension for AC-408.,MXL ACCESSORIES,$129,$86
Marshall Electronics,MXL-AC83,MXL-AC83,Conference BLE Microphone,UCC MICROPHONES,"$1,261",$841
Marshall Electronics,OR-181RMK,OR-181RMK,"Rack Mount kit for the OR-181, OR-185",MONITOR ACCESSORIES,$358,$239
Marshall Electronics,RCP-PLUS,RCP-PLUS,"RCP-PLUS ver 3, RS485, VISCA over IP, Compatible with CV300/500 series cameras.",CONTROLLERS,"$2,847","$1,898"
Marshall Electronics,RS7-HR,RS7-HR,RS232/RS422 Home Run Distribution Box for up to 7 Cameras,CAMERA ACCESSORIES,$640,$427
Marshall Electronics,V-1294-2MP,V-1294-2MP,"Camera Board with IR filter, lens mount, and breakout cable (SDI/RS485/power)",FIXED CAMERAS,$807,$538
Marshall Electronics,V-4705.0-2MP-VIS-IR,V-4705.0-2MP-VIS-IR,5.0mm F2.0-2MP VIS-IR Correct Lens,MINI LENSES OEM,$133,$89
Marshall Electronics,V-702W,V-702W,"Dual 7"" 3RU Rack Monitor with Waveform",RACKMOUNT MONITORS,"$3,259","$2,172"
Marshall Electronics,V-702W-12G-V2,V-702W-12G-V2,"Dual 7"" 3RU Rack Mount 12G Monitor with Waveform - new panel",RACKMOUNT MONITORS,"$7,435","$4,957"
Marshall Electronics,VAC-12HUC,VAC-12HUC,HDMI to USB-C Converter (USB3.0/2.0),MEDIA CONVERTERS,"$1,201",$801
Marshall Electronics,VAC-12SH,VAC-12SH,3G/HD/SD SDI to HDMI Converter with loop out,CONVERTERS,$858,$572
Marshall Electronics,VAC-23SHUC,VAC-23SHUC,3G/HD-SDI & HDMI to USB-C Converter (USB3.0/2.0),MEDIA CONVERTERS,"$1,223",$815
Marshall Electronics,V-BAT-AB,V-BAT-AB,VEAS Mnt plate with dual outputs for Anton Bau Bat,MONITOR ACCESSORIES,"$1,262",$841
Marshall Electronics,V-BAT-VM,V-BAT-VM,VEAS Mnt plate with dual outputs for V-Mnt Battery,MONITOR ACCESSORIES,"$1,000",$667
