StockCode,Vendor,VendorStockCode,StockDescription,PrimaryCategory,SecondaryCategory,TertiaryCategory,RRPEx,DealerEx,StockAvailable,ETA,Status,Type,BundledItem1,BundledItem2,BundledItem3,BundledItem4,BundledItem5
01-SSC-0525,SONICWALL,01-SSC-0525,"SONICWALL TZ400 SERIES RACK MOUNT KIT","NETWORKING","TZ400","HARDWARE","366.00","270.00",0,TBA,A,StockedItem,,,,,
01-SSC-0534,SONICWALL,01-SSC-0534,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR TZ400 SERIES 1YR","NETWORKING",,"SOFTWARE","2028.00","1495.00",999999999,,A,StockedItem,,,,,
01-SSC-0540,SONICWALL,01-SSC-0540,"CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR TZ400 SERIES 1YR","NETWORKING",,"SOFTWARE","1846.00","1361.00",999999999,,A,StockedItem,,,,,
01-SSC-0567,SONICWALL,01-SSC-0567,"COMPREHENSIVE GATEWAY SECURITY SUITE BUNDLE FOR TZ400 SERIES 1YR","NETWORKING","TZ400","LICENSING","2965.00","2186.00",0,TBA,A,StockedItem,,,,,
01-SSC-0573,SONICWALL,01-SSC-0573,"EXPANDED LICENSE FOR TZ400 SERIES","NETWORKING",,"SOFTWARE","716.00","528.00",999999999,,A,StockedItem,,,,,
01-SSC-0632,SONICWALL,01-SSC-0632,"COMPREHENSIVE ANTI-SPAM SERVICE FOR TZ300P 1YR","NETWORKING","TZ300","LICENSING","1275.00","940.00",0,TBA,A,StockedItem,,,,,
01-SSC-0709,SONICWALL,01-SSC-0709,"SONICWALL TZ400, TZ300, SOHO SERIES FRU POWER SUPPLY","NETWORKING","TZ400","HARDWARE","73.00","54.00",0,TBA,A,StockedItem,,,,,
01-SSC-0742,SONICWALL,01-SSC-0742,"SONICWALL TZ350, TZ300 SERIES RACK MOUNT KIT","NETWORKING","TZ300","HARDWARE","366.00","270.00",0,TBA,A,StockedItem,,,,,
01-SSC-0744,SONICWALL,01-SSC-0744,"SONICWALL TZ300/TZ400/TZ500/TZ600 SERIES USB SECURITY CLAMP","NETWORKING","TZ600","HARDWARE","63.00","47.00",0,TBA,A,StockedItem,,,,,
01-SSC-0802,SONICWALL,01-SSC-0802,"SONICWALL SUPERMASSIVE 9800 TOTALSECURE 1 YR","NETWORKING","SUPERMASSIVE 9800","HARDWARE","170457.00","125653.00",0,TBA,A,StockedItem,,,,,
01-SSC-0805,SONICWALL,01-SSC-0805,"SONICWALL SUPERMASSIVE 9800 DEMO NFR","NETWORKING","NFR","SUPERMASSIVE SERIES","57588.00","61459.00",0,TBA,A,StockedItem,,,,,
01-SSC-0809,SONICWALL,01-SSC-0809,"COMPREHENSIVE GATEWAY SECURITY SUITE BUNDLE FOR SUPERMASSIVE 9800 (1 YR)","NETWORKING","SUPERMASSIVE 9800","LICENSING","129595.00","95532.00",0,TBA,A,StockedItem,,,,,
01-SSC-0855,SONICWALL,01-SSC-0855,"CAPTURE ADVANCED THREAT PROTECTION FOR NSA 9450 1YR","NETWORKING",,"SOFTWARE","39274.00","28951.00",999999999,,A,StockedItem,,,,,
01-SSC-1158,SONICWALL,01-SSC-1158,"CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR NSA 9450 1YR","NETWORKING",,"SOFTWARE","47129.00","34741.00",999999999,,A,StockedItem,,,,,
01-SSC-1196,SONICWALL,01-SSC-1196,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSA 9450 1YR","NETWORKING",,"SOFTWARE","43202.00","31846.00",999999999,,A,StockedItem,,,,,
01-SSC-1445,SONICWALL,01-SSC-1445,"CAPTURE ADVANCED THREAT PROTECTION FOR TZ400 SERIES 1YR","NETWORKING",,"SOFTWARE","1619.00","1193.00",999999999,,A,StockedItem,,,,,
01-SSC-1455,SONICWALL,01-SSC-1455,"CAPTURE ADVANCED THREAT PROTECTION FOR TZ500 SERIES 1YR","NETWORKING",,"SOFTWARE","1619.00","1193.00",999999999,,A,StockedItem,,,,,
01-SSC-1465,SONICWALL,01-SSC-1465,"CAPTURE ADVANCED THREAT PROTECTION FOR TZ600 SERIES 1YR","NETWORKING",,"SOFTWARE","2139.00","1577.00",999999999,,A,StockedItem,,,,,
01-SSC-1485,SONICWALL,01-SSC-1485,"CAPTURE ADVANCED THREAT PROTECTION FOR NSA 3600 1YR","NETWORKING",,"SOFTWARE","6138.00","4525.00",999999999,,A,StockedItem,,,,,
01-SSC-1495,SONICWALL,01-SSC-1495,"CAPTURE ADVANCED THREAT PROTECTION FOR NSA 4600 1YR","NETWORKING",,"SOFTWARE","8223.00","6061.00",999999999,,A,StockedItem,,,,,
01-SSC-1503,SONICWALL,01-SSC-1503,"HA CONVERSION LICENSE TO STANDALONE UNIT FOR NSA 9450","NETWORKING","NSA 9450","LICENSING","36302.00","26760.00",0,TBA,A,StockedItem,,,,,
01-SSC-1555,SONICWALL,01-SSC-1555,"CAPTURE ADVANCED THREAT PROTECTION FOR NSA 5600 1YR","NETWORKING",,"SOFTWARE","15582.00","11486.00",999999999,,A,StockedItem,,,,,
01-SSC-1565,SONICWALL,01-SSC-1565,"CAPTURE ADVANCED THREAT PROTECTION FOR NSA 6600 1YR","NETWORKING",,"SOFTWARE","28336.00","20888.00",999999999,,A,StockedItem,,,,,
01-SSC-1788,SONICWALL,01-SSC-1788,"CAPTURE ADVANCED THREAT PROTECTION FOR TZ400 SERIES 1YR NFR","NETWORKING","NFR","TZ SERIES","218.00","233.00",0,TBA,A,StockedItem,,,,,
01-SSC-1790,SONICWALL,01-SSC-1790,"CAPTURE ADVANCED THREAT PROTECTION FOR TZ600 SERIES 1YR NFR","NETWORKING","NFR","TZ SERIES","311.00","332.00",0,TBA,A,StockedItem,,,,,
01-SSC-1793,SONICWALL,01-SSC-1793,"CAPTURE ADVANCED THREAT PROTECTION FOR NSA 4600 1YR NFR","NETWORKING","NFR","NSA SERIES","1056.00","1127.00",0,TBA,A,StockedItem,,,,,
01-SSC-1794,SONICWALL,01-SSC-1794,"CAPTURE ADVANCED THREAT PROTECTION FOR NSA 5600 1YR NFR","NETWORKING","NFR","NSA SERIES","2073.00","2213.00",0,TBA,A,StockedItem,,,,,
01-SSC-1795,SONICWALL,01-SSC-1795,"CAPTURE ADVANCED THREAT PROTECTION FOR NSA 6600 1YR NFR","NETWORKING","NFR","NSA SERIES","3770.00","4023.00",0,TBA,A,StockedItem,,,,,
01-SSC-1796,SONICWALL,01-SSC-1796,"CAPTURE ADVANCED THREAT PROTECTION FOR SUPERMASSIVE 9200 1YR NFR","NETWORKING","NFR","SUPERMASSIVE SERIES","5089.00","5431.00",0,TBA,A,StockedItem,,,,,
