Product_Code,Brand,Category,Product_Name,Description,Long_Description,Reseller_Buy,RRP,Images,Stock,Warranty,Average_Lead_Time
NCX-0004-SG500MBPS,Cradlepoint,UTM/Firewall/VPN,NCX-0004-SG500MBPS,NetCloud Exchange Service Gateway - 500 Mbps,https://www.snappernet.co.nz/product/54972/NCX-0004-SG500MBPS,14000,20000,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/cradlepointlogo_mtfcqsm1.u25.jpg,0,,0
NCX-0002-SCL,Cradlepoint,UTM/Firewall/VPN,NCX-0002-SCL,NetCloud Exchange Secure Connect - Large Site,https://www.snappernet.co.nz/product/55010/NCX-0002-SCL,200,286,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/cradlepointlogo_13q1rdxi.n1m.jpg,0,,0
NCX-0005-SCS-R,Cradlepoint,UTM/Firewall/VPN,NCX-0005-SCS-R,NetCloud Exchange Secure Connect - Small Site Renewal,https://www.snappernet.co.nz/product/55018/NCX-0005-SCS-R,250,357,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/cradlepointlogo_qbwwhk1f.n2a.jpg,0,,0
UH34-MONO-TEAMS,Yealink,VoIP (Voice over IP),UH34-MONO-TEAMS,USB (Wired) Monaural Headset for UC and MS Teams,https://www.snappernet.co.nz/product/42369/UH34-MONO-TEAMS,70.31,100,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/uh34_2ikytm1h.yzn.png,1,12,0
2755-209,Jabra,VoIP (Voice over IP),2755-209,Speak2 55 Speakerphone USB & Bluetooth UC,,214.88,307,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/2755-109-top_ay3c0rgb.50x.jpg,-1,24,0
WMB-T41-T42,Yealink,VoIP (Voice over IP),WMB-T41-T42,Wall Bracket for T40/T41/T42/T43U,,6.41,9,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/wb-_bf341mea.bdz.jpg,4,,0
YP-ENT-96SC-1YR,Yeastar,VoIP (Voice over IP),YP-ENT-96SC-1YR,PBX with Enterprise Plan features (annual) 96 Simultaneous Calls,,4298.33,6140,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/p-series_guh42irc.5l0.jpg,0,,0
UX,Ubiquiti,Routers,UX,UniFi Express Cloud Gateway Dual Band WiFi 6 Router,,234.72,335,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/the-tech-geeks-ubiqu_qkvgr3qr.lum.jpg,-7,12,0
U-Installer,Ubiquiti,Wireless,U-Installer,airMAX CPE Installation Tool (with carabiner clip),https://www.snappernet.co.nz/product/10853/U-Installer,185,264,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/uinstaller-features-software1_636447342806619789.jpg,0,12,5
FVPSU5V,FlyingVoice,Power,FVPSU5V,5V 1A Power Supply for IP Phones,https://www.snappernet.co.nz/product/54395/FVPSU5V,10.5,15,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/fvpsu5v_22y3wyao.wsx.jpg,19,12,0
