Ingram Part Number,Ingram Part Description,Customer Part Number,Vendor Part Number,EANUPC Code,Plant,Vendor Number,Vendor Name,Size,Weight,Volume,Unit,Category ID,Customer Price,Retail Price,Availability Flag,Available Quantity,Backlog Information,Backlog ETA,License Flag,BOM Flag,Material Long Description,Length,Width,Height,Dimension Unit,Weight Unit,Volume Unit,Category,Material Creation Reason code,Media Code,Material Language Code,Substitute Material,Manufacturer Vendor Number,Sub-Category,Product Family,Purchasing Vendor,Material Change Code,Price Status,New Material Flag,Vendor Subrange,Case Qty,Pallet Qty,Direct Order identifier,Material Status,Release Date,Fulfilment type,Music Copyright Fees,Recycling Fees,Document Copyright Fees,Battery Fees,Customer Price with Tax,Retail Price with Tax,Tax Percent,Discount in Percent,Customer Reservation Number,Customer Reservation Qty,Agreement ID,Level ID,Period,Points,Company code,Customer Currency Code,Customer Price Change Flag,Substitute Flag,Availability (Local Stock),Availability (Central Stock),Creation Reason Type,Creation Reason Value,Plant 01 Available Quantity,Plant 02 Available Quantity,VAT Rate,Product Group,MRP Controller,Shipping Country,Local Stock Backlog Quantity,Local Stock Backlog ETA,Central Stock Backlog Quantity,Central Stock Backlog ETA,Customer Price Including Fees,Total Fees,Category Description,Sub-Category Description,Category ID Description
000000000002926583,3y Nbd w/CDMR 12916 FC SVC,,U1RN6E,,NZ01,0000501631,Hewlett Packard Enterprise,,0.0000,0.0000,EA,001269,99954.83,107114.00,,0,0,,,,3y Nbd w/CDMR 12916 FC SVC,0.0000,0.0000,0.0000,,,,012,,,IN,,0000501631,176,Hewlett Packard Enterprise Services & War,0000103299,NEW,,,450853,0000,0000,X,,,W,0,0,0,0,114948.05,123181.10,0,,,,,,,,2320,NZD,,,0,0,STANDARD,STANDARD,0,0,,,,NZ,0,,0,, 99954.83, 0.00,Services & Warranties,Help Desk Services,Internet Support
000000000002926584,4y Nbd w/CDMR 12916 FC SVC,,U1RN7E,,NZ01,0000501631,Hewlett Packard Enterprise,,0.0000,0.0000,EA,001269,156802.52,168033.00,,0,0,,,,4y Nbd w/CDMR 12916 FC SVC,0.0000,0.0000,0.0000,,,,012,,,IN,,0000501631,176,Hewlett Packard Enterprise Services & War,0000103299,NEW,,,450853,0000,0000,X,,,W,0,0,0,0,180322.9,193237.95,0,,,,,,,,2320,NZD,,,0,0,STANDARD,STANDARD,0,0,,,,NZ,0,,0,, 156802.52, 0.00,Services & Warranties,Help Desk Services,Internet Support
000000000002926595,5y Nbd w/CDMR 12916 FC SVC,,U1RN8E,,NZ01,0000501631,Hewlett Packard Enterprise,,0.0000,0.0000,EA,001269,211169.05,226294.00,,0,0,,,,5y Nbd w/CDMR 12916 FC SVC,0.0000,0.0000,0.0000,,,,012,,,IN,,0000501631,176,Hewlett Packard Enterprise Services & War,0000103299,NEW,,,450853,0000,0000,X,,,W,0,0,0,0,242844.41,260238.10,0,,,,,,,,2320,NZD,,,0,0,STANDARD,STANDARD,0,0,,,,NZ,0,,0,, 211169.05, 0.00,Services & Warranties,Help Desk Services,Internet Support
000000000002926642,1y PW NBDExch 802.11 Wrls Cl FC SVC,,U1RT4PE,,NZ01,0000501631,Hewlett Packard Enterprise,,0.0000,0.0000,EA,001269,13.65,16.00,,0,0,,,,1y PW NBDExch 802.11 Wrls Cl FC SVC 802.11 Wireless Client prod 9x5 HW support with next business day HW exchange. 9x5 SW phone support and SW Updates for eligible SW.,0.0000,0.0000,0.0000,,,,012,,,IN,,0000501631,176,Hewlett Packard Enterprise Services & War,0000103299,NEW,,,450853,0000,0000,X,,,W,0,0,0,0,15.7,18.40,0,,,,,,,,2320,NZD,,,0,0,STANDARD,STANDARD,0,0,,,,NZ,0,,0,, 13.65, 0.00,Services & Warranties,Help Desk Services,Internet Support
000000000002926807,1yPW Renwl24x7 64xxcl-6XGSeries FCSVC,,U1SA4PE,,NZ01,0000501631,Hewlett Packard Enterprise,,0.0000,0.0000,EA,001269,938.44,1101.00,,0,0,,,,1yPW Renwl24x7 64xxcl-6XGSeries FCSVC,0.0000,0.0000,0.0000,,,,012,,,IN,,0000501631,176,Hewlett Packard Enterprise Services & War,0000103299,NEW,,,450853,0000,0000,X,,,W,0,0,0,0,1079.21,1266.15,0,,,,,,,,2320,NZD,,,0,0,STANDARD,STANDARD,0,0,,,,NZ,0,,0,, 938.44, 0.00,Services & Warranties,Help Desk Services,Internet Support
000000000002926811,3y IMC VAN SDN E-LTU Procare SW SVC,,U1UQ8E,,NZ01,0000501631,Hewlett Packard Enterprise,,0.0000,0.0000,EA,001269,11047.19,11839.00,,0,0,,,,3y IMC VAN SDN E-LTU Procare SW SVC,0.0000,0.0000,0.0000,,,,012,,,IN,,0000501631,176,Hewlett Packard Enterprise Services & War,0000103299,NEW,,,450853,0000,0000,X,,,W,0,0,0,0,12704.27,13614.85,0,,,,,,,,2320,NZD,,,0,0,STANDARD,STANDARD,0,0,,,,NZ,0,,0,, 11047.19, 0.00,Services & Warranties,Help Desk Services,Internet Support
000000000002926812,4y IMC VAN SDN E-LTU Procare SW SVC,,U1UR0E,,NZ01,0000501631,Hewlett Packard Enterprise,,0.0000,0.0000,EA,001269,14466.79,15503.00,,0,0,,,,4y IMC VAN SDN E-LTU Procare SW SVC,0.0000,0.0000,0.0000,,,,012,,,IN,,0000501631,176,Hewlett Packard Enterprise Services & War,0000103299,NEW,,,450853,0000,0000,X,,,W,0,0,0,0,16636.81,17828.45,0,,,,,,,,2320,NZD,,,0,0,STANDARD,STANDARD,0,0,,,,NZ,0,,0,, 14466.79, 0.00,Services & Warranties,Help Desk Services,Internet Support
000000000002926813,5y IMC VAN SDN E-LTU Procare SW SVC,,U1UR2E,,NZ01,0000501631,Hewlett Packard Enterprise,,0.0000,0.0000,EA,001269,17736.36,19006.00,,0,0,,,,5y IMC VAN SDN E-LTU Procare SW SVC,0.0000,0.0000,0.0000,,,,012,,,IN,,0000501631,176,Hewlett Packard Enterprise Services & War,0000103299,NEW,,,450853,0000,0000,X,,,W,0,0,0,0,20396.81,21856.90,0,,,,,,,,2320,NZD,,,0,0,STANDARD,STANDARD,0,0,,,,NZ,0,,0,, 17736.36, 0.00,Services & Warranties,Help Desk Services,Internet Support
000000000002926913,1y NBD Exch VCX level 3 pdt FC SVC,,U1YA0E,,NZ01,0000501631,Hewlett Packard Enterprise,,0.0000,0.0000,EA,001269,590.68,693.00,,0,0,,,,1y NBD Exch VCX level 3 pdt FC SVC,0.0000,0.0000,0.0000,,,,012,,,IN,,0000501631,176,Hewlett Packard Enterprise Services & War,0000103299,NEW,,,450853,0000,0000,X,,,W,0,0,0,0,679.28,796.95,0,,,,,,,,2320,NZD,,,0,0,STANDARD,STANDARD,0,0,,,,NZ,0,,0,, 590.68, 0.00,Services & Warranties,Help Desk Services,Internet Support
000000000002926946,1y NBD Exch WX Access Contr FC SVC,,U1YA3E,,NZ01,0000501631,Hewlett Packard Enterprise,,0.0000,0.0000,EA,001269,1015.15,1191.00,,0,0,,,,1y NBD Exch WX Access Contr FC SVC,0.0000,0.0000,0.0000,,,,012,,,IN,,0000501631,176,Hewlett Packard Enterprise Services & War,0000103299,NEW,,,450853,0000,0000,X,,,W,0,0,0,0,1167.42,1369.65,0,,,,,,,,2320,NZD,,,0,0,STANDARD,STANDARD,0,0,,,,NZ,0,,0,, 1015.15, 0.00,Services & Warranties,Help Desk Services,Internet Support
