Inventory Group,Product Name,RRP Incl GST,List Price,Product Description,Long Description,Colour,EAN Number,Panasonic URL
4800 AV ACCESSORIES,EAH-AZ80E-K,499.99,226.08,Technics Flagship True Wireless Noise Cancelling Earphones - Black,"JustMyVoice Technology, Industryleading DualHybrid NoiseCancelling, 10mm Driver, Qi Wireless Charging, Acoustic Control Chamber, Ambient Sound (Attention & Natural sound modes ), 3 Device Multipoint,",BLACK,5025232929122,https://www.technics.com/nz/products/headphones/true-wireless-earbuds/eah-az80e.html
4800 AV ACCESSORIES,RZ-B310WDE-K,159.99,54.77,True Wireless Earphones with Noise Cancelling,"Ergonomic fit, 10mm Driver Unit, Hybrid Noise Cancelling, XBS, Touch Sensor, IPX4 Rated, Voice Assistant, USB C Charging, 5Hrs Playtime, 20Hrs with Case ANC On",BLACK,5025232946846,https://www.panasonic.com/nz/consumer/home-entertainment/headphones/true-wireless-earbuds/rz-b310w.html
4800 AV ACCESSORIES,EAH-AZ100E-N,529.99,347.82,Technics Flagship True Wireless Noise Cancelling Earphones,"10mm Mag-Fluid Driver, Adaptive Noise Cancelling, Spatial Audio, Dolby Atmos, Voice Focused AI Speech, Qi Wireless Charging, 3 Device Multipoint,",CHAMPAGNE,5025232982790,https://www.technics.com/nz/products/headphones/true-wireless-earbuds/eah-az80e.html
4800 AV ACCESSORIES,RB-M600BE-K,209.99,78.25,Noise Cancelling Overear Headphone - Black,Noise Cancelling Overear M600 Headphone,BLACK,5025232963751,
4800 AV ACCESSORIES,RB-M600BE-C,209.99,78.25,Noise Cancelling Overear Headphone - Concrete,Noise Cancelling Overear M600 Headphone,WHITE,5025232963768,
4800 AV ACCESSORIES,RB-HF630BE-W,94.99,43.47,Wireless On Ear Headphone - White,Wireless On Ear,WHITE,5025232963812,https://www.panasonic.com/nz/consumer/television-audio/headphones/wireless-headphones/rb-hf630be.html
4800 AV ACCESSORIES,RB-HF630BE-K,94.99,43.47,Wireless On Ear Headphone - Black,Wireless On Ear Headphone,BLACK,5025232963799,https://www.panasonic.com/nz/consumer/television-audio/headphones/wireless-headphones/rb-hf630be.html
4800 AV ACCESSORIES,RB-HF630BE-A,94.99,43.47,Wireless On Ear Headphone - Blue,Wireless On Ear Headphone,BLUE,5025232963805,https://www.panasonic.com/nz/consumer/television-audio/headphones/wireless-headphones/rb-hf630be.html
4800 AV ACCESSORIES,RP-TCM115E-W,29.99,20.86,In Ear Wired Earphone with In-Line Mic,,WHITE,5025232882366,
4800 AV ACCESSORIES,RP-HT161E-K,42.99,9.56,Wired Over Ear Headphone,"30mm Driver unit, Full Size AV Style Band Headphones Black",BLACK,5025232476329,https://www.panasonic.com/nz/consumer/home-entertainment/headphones/over-ear-headphones/rp-ht161e.html
4800 AV ACCESSORIES,RP-HV094GU-K,11.99,4.34,In Ear Wired Earphone,"14.8mm Driver unit, 1.2m cord, Entry Level bud Style Earphone Black",,5025232483716,https://www.panasonic.com/nz/consumer/home-entertainment/headphones/in-ear-and-clip-earphones/rp-hv094gu.html
4800 AV ACCESSORIES,RP-HJE125E-W,21.99,6.95,In Ear Wired Earphone,"Canal Styled Ergo Fit Earphone, Changeable Earpads (3 sizes) White",WHITE,5025232711734,https://www.panasonic.com/nz/consumer/home-entertainment/headphones/in-ear-and-clip-earphones/rp-hje125e.html
4800 AV ACCESSORIES,RP-HJE125E-A,21.99,6.95,In Ear Wired Earphone,"Canal Styled Ergo Fit Earphone, Changeable Earpads (3 sizes) Blue",BLUE,5025232711741,https://www.panasonic.com/nz/consumer/home-entertainment/headphones/in-ear-and-clip-earphones/rp-hje125e.html
4800 AV ACCESSORIES,RP-HJE125E-K,21.99,6.95,In Ear Wired Earphone,"Canal Styled Ergo Fit Earphone, Changeable Earpads (3 sizes) Black",BLACK,5025232678129,https://www.panasonic.com/nz/consumer/home-entertainment/headphones/in-ear-and-clip-earphones/rp-hje125e.html
4800 AV ACCESSORIES,RZ-B120WDE-K,84.99,32.17,True Wireless Earphones - Earbud,"Slim design, 7mm Driver Unit, XBS, Touch Sensor, IPX4 Rated, Voice Assistant, USB C Charging, 6.5Hrs Playtime, 26Hrs with Case",BLACK,5025232965809,
4800 AV ACCESSORIES,EAH-AZ100E-K,529.99,260.86,Technics Flagship True Wireless Noise Cancelling Earphones,"10mm Mag-Fluid Driver, Adaptive Noise Cancelling, Spatial Audio, Dolby Atmos, Voice Focused AI Speech, Qi Wireless Charging, 3 Device Multipoint,",BLACK,5025232966301,https://www.technics.com/nz/products/headphones/true-wireless-earbuds/eah-az80e.html
4800 AV ACCESSORIES,EAH-AZ100E-S,529.99,260.86,Technics Flagship True Wireless Noise Cancelling Earphones,"10mm Mag-Fluid Driver, Adaptive Noise Cancelling, Spatial Audio, Dolby Atmos, Voice Focused AI Speech, Qi Wireless Charging, 3 Device Multipoint,",SILVER,5025232966318,https://www.technics.com/nz/products/headphones/true-wireless-earbuds/eah-az80e.html
4800 AV ACCESSORIES,EAH-DJ1200EK,329.99,147.82,Technics DJ On-Ear Stereo Headphones,"Technics DJ Wired HIFI Onear Stereo Headphones. Lightweight Design, Locking Detachable 1.2m cord, Stretchable Coiled Cord, 40mm Driver, Free Style Monitoring with Swing Arm Mechanism, 270 degree swing",BLACK,5025232899043,https://www.technics.com/nz/products/headphones/eah-dj1200.html
4800 AV ACCESSORIES,EAH-AZ100E-A,529.99,347.82,Technics Flagship True Wireless Noise Cancelling Earphones,"10mm Mag-Fluid Driver, Adaptive Noise Cancelling, Spatial Audio, Dolby Atmos, Voice Focused AI Speech, Qi Wireless Charging, 3 Device Multipoint,",BLUE,5025232985036,https://www.technics.com/nz/products/headphones/true-wireless-earbuds/eah-az80e.html
4800 AV ACCESSORIES,EAH-A800E-S,549.99,234.77,Technics Flagship Hi-Res Wireless Noise Cancelling Ovear Ear Headphones,"Industryleading Dual Hybrid Noise Cancelling, Superior Call Quality, 40mm driver, Acoustic Chamber Control, Bluetooth 5.2, HiRes Audio, LDAC, Ambient Sound (Attention & Natural sound modes ), Bluetoot",SILVER,5025232919215,https://www.technics.com/nz/products/headphones/eah-a800e.html
4800 AV ACCESSORIES,EAH-A800E-K,549.99,234.77,Technics Flagship Hi-Res Wireless Noise Cancelling Ovear Ear Headphones,"J108leading Dual Hybrid Noise Cancelling, Superior Call Quality, 40mm driver, Acoustic Chamber Control, Bluetooth 5.2, HiRes Audio, LDAC, Ambient Sound (Attention & Natural sound modes ), Bluetooth Mu",BLACK,5025232919208,https://www.technics.com/nz/products/headphones/eah-a800e.html
4800 AV ACCESSORIES,RB-F10DE-C,169.99,104.34,Open Ear True Wireless Headphones with IPX4,Open Ear True Wireless Headphones with IPX4,CONCRETE,5025232974528,https://www.panasonic.com/nz/consumer/television-audio/headphones/wireless-earbuds/rb-f10de.html
4800 AV ACCESSORIES,RB-F10DE-K,169.99,104.34,Open Ear True Wireless Headphones with IPX4,Open Ear True Wireless Headphones with IPX4,BLACK,5025232974511,https://www.panasonic.com/nz/consumer/television-audio/headphones/wireless-earbuds/rb-f10de.html
4375 DRYER,NH-SK4W,189.99,104.34,Heat Pump Dryer Stacking Kit,Stacking kit for HP Dryer and FR-FC Washers,White,000000000000,
4375 DRYER,N-SK3WAU,24.99,13.03,Stacking Kit,"Stacking kit for NHE series vented dryer for stacking FR / FC series washing machines only. Contents: Three brackets, screws and double sided tape White",WHITE,8887549845734,N/A
4375 DRYER,NH-EH90JD1WA,2599.99,956.51,9KG Heat Pump Dryer,"Heat Pump Technology, Reverse Tumble, Sensor Drying, Low heat drying, 12 drying programs, Drying basket included, 8 Star Energy Rating",WHITE,8887549858383,https://www.panasonic.com/nz/consumer/laundry-cleaning/washing-machines/care-edition/nh-eh90jd1wa.html
4375 DRYER,NH-EH10JD1WA,2799.99,1043.47,10KG Heat Pump Dryer,"Heat Pump Technology, Reverse Tumble, Sensor Drying, Low heat drying, 12 drying programs, Drying basket included, 8 Star Energy Rating",WHITE,8887549858390,https://www.panasonic.com/nz/consumer/laundry-cleaning/washing-machines/care-edition/nh-eh10jd1wa.html
4375 DRYER,N-SK4W,189.99,113.03,Stacking Kit for HP Series,"Stacking kit with pull out shelf for NHEH series heat pump dryer for stacking with FR / FC series washing machines only. Contents: Two brackets, stacking frame with shelf (preassembled), locking feet",WHITE,8887549869068,https://www.panasonic.com/nz/consumer/laundry-cleaning/washing-machines/dryers/n-sk4w.html
4375 DRYER,N-SK2WAU,24.99,17.38,Stacking Kit,"Stacking kit for NHE series vented dryer for stacking FX / FG / FB series washing machines only. Contents: Three brackets, screws and double sided tape White",WHITE,8887549779084,N/A
4375 DRYER,NH-E80JA1WAU,1199.99,478.25,8.0KG Vented Sensor Dryer,"Reverse Tumble, PTC Heater Technology, 5 drying programs, Sensor Drying, Wall mounting kit included, 2 Star Energy Rating White",WHITE,8887549842122,https://www.panasonic.com/nz/consumer/home-appliances/laundry-appliances/vented-dryers/nh-e80ja1wau.html
4375 DRYER,N-SK4BAU,189.99,104.34,Black Stacking Kit for HP Series,"Stacking kit with pull out shelf for NHEH series heat pump dryer for stacking with FR / FC series washing machines only. Contents: Two brackets, stacking frame with shelf (preassembled), Black",BLACK,,
4375 DRYER,NH-EH10JD1BA,2699.99,1495.65,10KG Heat Pump Dryer,"Heat Pump Technology, Reverse Tumble, Sensor Drying, Low heat drying, 12 drying programs, Drying basket included, 8 Star Energy Rating, Black",BLACK,8887549890871,https://www.panasonic.com/nz/consumer/laundry-cleaning/washing-machines/dryers/nh-eh10jd1ba.html
4370 WASHING MACHINES,NA-F95AR1HNZ,1949.99,730.42,9.5KG Top Loader,"TurboMixer, ActiveFoam Wash, Stainmaster, Tub Care, Sazanami Drum, Big Cassette Lint Filters, 3.5 Star Water Rating, 2.5 Star Energy Rating Light Grey Body/Light Grey Top",,8887549783432,https://www.panasonic.com/nz/consumer/home-appliances/laundry-appliances/top-loaders/na-f95ar1hnz.html
4370 WASHING MACHINES,NA-F85AR1HNZ,1849.99,666.51,8.5KG Top Loader,"TurboMixer, ActiveFoam Wash, Stainmaster, Tub Care, Sazanami Drum, Big Cassette Lint Filters, 3.5 Star Water Rating, 2.5 Star Energy Rating Light Grey Body/Light Grey Top.",,8887549783425,https://www.panasonic.com/nz/consumer/home-appliances/laundry-appliances/top-loaders/na-f85ar1hnz.html
4370 WASHING MACHINES,NA-V10FA1BAU,1849.99,1286.95,10.0KG Front Loader,"3Di Inverter, Auto Gasket Clean, ActiveFoam, Stainmaster+, Auto Tub Care, 38min Wash, Alpha Drum, Quiet Operation, 4.0 Star Water Rating, 4.5 Star Energy Rating Black",BLACK/BLACK DOOR,8887549890697,https://www.panasonic.com/nz/consumer/laundry-cleaning/washing-machines/care-edition/na-v10fa1bau.html
4370 WASHING MACHINES,NA-S106FR1WA,3099.99,1141.29,"10KG Washer & 6KG Condenser Dryer, with WiFi","3Di Inverter with wash sensors, WiFi control, Hybrid Dry, BlueAg, ActiveFoam, Stainmaster+, Auto Tub Care, 38 minute active speed, wash, Alpha Drum, Quiet Operation, 4.5 Star Water Rating, 4.5 Star En",WHITE,8887549795725,https://www.panasonic.com/nz/consumer/home-appliances/laundry-appliances/care-edition/na-s106fr1wa.html
4370 WASHING MACHINES,NA-V10FR1WAU,2499.99,1004.34,"10KG Front Loader, with WiFi","D3Di Inverter with wash sensors, WiFi Control, Hybrid Dry Lite, BlueAg, ActiveFoam, Stainmaster+, Auto Tub Care, 38 minute active speed wash, Alpha Drum, Quiet Operation, 4.0 Star Water Rating, 4.5 St",WHITE,8887549816895,https://www.panasonic.com/nz/consumer/home-appliances/laundry-appliances/care-edition/na-v10fr1wau.html
4370 WASHING MACHINES,NA-V85FC1WAU,1949.99,821.73,8.5KG Front Loader,"3Di Inverter with wash sensors, Hybrid Dry Lite,ActiveFoam, Stainmaster+, Auto Tub Care, 38 minute active speed wash, Alpha Drum, Quiet Operation, 4.0 Star Water Rating, 4.5 Star Energy Rating White/B",White/Black Door,8887549795947,https://www.panasonic.com/nz/consumer/home-appliances/laundry-appliances/care-edition/na-v85fc1wau.html
4370 WASHING MACHINES,NA-F70A9HNZ,1349.99,593.47,7.0KG Top Loader,"Aquabeat, Foam Wash, 10 Wash Programmes, StainMaster, Soft Close Lid, Compact size, 3.5 Star Water Rating, 2.5 Star Energy Rating White Body/Light Grey Top,",GREY,8887549808746,https://www.panasonic.com/nz/consumer/home-appliances/laundry-appliances/top-loaders/na-f70a9hnz.html
4370 WASHING MACHINES,NA-V90FA1WAU,1799.99,1252.17,9.0KG Front Loader,"3Di Inverter, Auto Gasket Clean, ActiveFoam, Stainmaster+, Auto Tub Care, 38min Wash, Alpha Drum, Quiet Operation, 4.0 Star Water Rating, 4.5 Star Energy Rating White",WHITE/BLACK DOOR,8887549890703,
4360 REFRIGERATORS,ARBHBAB00010,69.99,51.11,BOX FILTER AS BW CW530JVAU,"NSF Certified Water Filter, Concentrated Carbon Filters, Compatiable with BW, CW and XY series Prime+ Edition plumbed water fridges, 1.9 lpm flow rate, usage life approximately 6 months (depends on in",White,9419690005775,https://www.panasonic.com/nz/consumer/home-appliances/built-in-kitchen-appliances/dishwashers/arbhbab00010.html
4360 REFRIGERATORS,NR-XY680LVKA,5999.99,2739.11,618L Quad Door Water Dispenser Fridge - Black,"Prime+ Edition, Dual PrimeFresh+, PrimeFreeze, NanoeX, Wine Rack, Sliding 1-2 shelf, Split shelf up and down, Smart App Connectivity, plumbed filtered water dispenser, LED interior light, a",MATTE BLACK STEEL,8887549825583,https://www.panasonic.com/nz/consumer/home-appliances/refrigerators/prime-plus-refrigerators/nr-xy680lvka.html
4360 REFRIGERATORS,NR-XY680LVSA,5999.99,2647.82,618L Quad Door Water Dispenser Fridge - Stainless Steel,"Prime+ Edition, Dual PrimeFresh+, PrimeFreeze, NanoeX, Wine Rack, Sliding 12 shelf, Split shelf up and down, Smart App Connectivity, plumbed filtered water dispenser, Auto ice making Stainless Steel",STAINLESS STEEL,8887549825590,https://www.panasonic.com/nz/consumer/home-appliances/refrigerators/prime-plus-refrigerators/nr-xy680lvsa.html
4360 REFRIGERATORS,NR-BX421BUSA,2449.99,1049.99,380L Refrigerator,"Econavi, Inverter, PrimeFresh+, Ag clean antibacteria and deodorising filter, LED interior light, adjustable tempered glass shelves, twist ice tray Stainless Steel",STAINLESS,8887549787270,https://www.panasonic.com/nz/consumer/home-appliances/refrigerators/nr-bx421busa.html
4360 REFRIGERATORS,NR-BX421BPKA,2549.99,1049.99,380L Refrigerator,"Econavi, Inverter, PrimeFresh+, Ag clean antibacteria and deodorising filter, LED interior light, adjustable tempered glass shelves, twist ice tray Black Steel",BLACK,8887549787225,https://www.panasonic.com/nz/consumer/home-appliances/refrigerators/nr-bx421bpka.html
