Product Code,Name,Description,Main,Price,Brand,Category Code,Supplier Product Code,Bar Code,RRP
TL-VIGIC540-4G(4MM),"TP-Link VIGI C540-4G(4mm), VIGI 4MP Outdoor Full-Color 4G Pan Tilt Network Camera","TP-Link VIGI C540-4G(4mm), VIGI 4MP Outdoor Full-Color 4G Pan Tilt Network Camera",0,173.6,TP-LINK,SURVEILLANCE CAMERA,VIGI C540-4G(4mm),4895252504910,209.0
TL-VIGIC540-W(4MM),TP LINK VIGI C540-W VIGI 4MP Outdoor Full-Colour Wi-Fi Pan Tilt Network Camera,TP LINK VIGI C540-W VIGI 4MP Outdoor Full-Colour Wi-Fi Pan Tilt Network Camera,4,123.7,TP-LINK,SURVEILLANCE CAMERA,VIGI C540-W(4mm),4897098683798,149.0
TL-VIGIC540S(4MM),"TP LINK VIGI C540S(4mm), VIGI 4MP Outdoor ColourPro Night Vision Pan Tilt Network Camera","TP LINK VIGI C540S(4mm), VIGI 4MP Outdoor ColourPro Night Vision Pan Tilt Network Camera",6,190.2,TP-LINK,SURVEILLANCE CAMERA,VIGI C540S(4mm),4895252503098,229.0
TL-VIGIC540V,TP Link VIGI C540V 4MP Outdoor Full-Color Dual-Lens Varifocal Pan Tilt Network Camera,TP Link VIGI C540V 4MP Outdoor Full-Color Dual-Lens Varifocal Pan Tilt Network Camera,3,140.3,TP-LINK,SURVEILLANCE CAMERA,VIGI C540V,4895252500837,169.0
TL-VIGINVR1004H,"TP-Link VIGI NVR1004H, VIGI 4 Channel Network Video Recorder","TP-Link VIGI NVR1004H, VIGI 4 Channel Network Video Recorder",7,98.8,TP-LINK,SURVEILLANCE CAMERA,VIGI NVR1004H,8885020620412,119.0
TL-VIGINVR1008H-8P,TP LINK VIGI 8 Channel PoE+ Network Video Recorder,TP LINK VIGI 8 Channel PoE+ Network Video Recorder,10,181.9,TP-LINK,NETWORKING - Wireless Router,VIGI NVR1008H-8P,4895252503111,219.0
TL-VIGINVR1016H,TP LINK VIGI NVR1016H VIGI 16 Channel Network Video Recorder,TP LINK VIGI NVR1016H VIGI 16 Channel Network Video Recorder,1,148.6,TP-LINK,SURVEILLANCE CAMERA,VIGI NVR1016H,4897098683293,179.0
TL-VIGINVR1104H-4P,TP LINK VIGI NVR1104H-4P 4 Channel PoE Network Video Recorder,TP LINK VIGI NVR1104H-4P 4 Channel PoE Network Video Recorder,5,157.0,TP-LINK,SURVEILLANCE CAMERA,VIGI NVR1104H-4P,4897098688786,189.0
TL-VIGINVR1108H-W,"TP-Link VIGI NVR1108H-W, VIGI 8 Channel Wi-Fi Network Video Recorder","TP-Link VIGI NVR1108H-W, VIGI 8 Channel Wi-Fi Network Video Recorder",10,165.3,TP-LINK,NETWORKING PRODUCTS,VIGI NVR1108H-W,4895252504934,199.0
TL-VIGINVR2016H,TP LINK VIGI NVR2016H VIGI 16 Channel Network Video Recorder,TP LINK VIGI NVR2016H VIGI 16 Channel Network Video Recorder,3,240.0,TP-LINK,SURVEILLANCE CAMERA,VIGI NVR2016H,4897098683880,289.0
TL-WA1201,TP-Link AC1200 Wireless Access Point,TP-Link AC1200 Wireless Access Point,0,73.9,TP-LINK,NETWORKING - Wireless AP,TL-WA1201,6935364084035,89.0
TL-WA1801,TP LINK AX1800 Gigabit Wi-Fi 6 Access Point,TP LINK AX1800 Gigabit Wi-Fi 6 Access Point,0,115.4,TP-LINK,NETWORKING - Wireless Router,TL-WA1801,4895252502022,139.0
TL-WA3001,TP LINK AX3000 Gigabit Wi-Fi 6 Access Point,TP LINK AX3000 Gigabit Wi-Fi 6 Access Point,3,132.0,TP-LINK,NETWORKING - Wireless Router,TL-WA3001,4897098688021,159.0
TL-WA801N,"TP-Link N300 Wi-Fi Access Point,  300Mbps at 2.4GHz, 802.11b/g/n,  1 10/100M Port, Passive PoE Supported, AP/Client/Bridge/Repeater, Multi-SSID, 2 fixed antennas","TP-Link N300 Wi-Fi Access Point,  300Mbps at 2.4GHz, 802.11b/g/n,  1 10/100M Port, Passive PoE Supported, AP/Client/Bridge/Repeater, Multi-SSID, 2 fixed antennas",19,37.4,TP-LINK,NETWORKING - Wireless AP,TL-WA801N,6935364052461,45.0
TL-WA850RE,"TP-Link300Mbps Wireless N Wall Plugged Range Extender, Atheros, 2T2R, 2.4GHz, 802.11n/g/b","TP-Link300Mbps Wireless N Wall Plugged Range Extender, Atheros, 2T2R, 2.4GHz, 802.11n/g/b",0,32.4,TP-LINK,NETWORKING - Wireless AP,TL-WA850RE,"0153500384,6935364070847",39.0
TL-WA855RE,TP-Link TL-WA855RE 300Mbps Wi-Fi Range Extender,TP-Link TL-WA855RE 300Mbps Wi-Fi Range Extender,32,40.7,TP-LINK,NETWORKING - Wireless AP,TL-WA855RE,6935364099343,49.0
TL-WN725N,TP-LINK TL-WN725N 150Mbps Wireless N Nano USB Adapter,TP-LINK TL-WN725N 150Mbps Wireless N Nano USB Adapter,0,10.0,TP-LINK,NETWORKING - Wireless Adapter,TL-WN725N,"6935364050719,0152502250",12.0
TL-WN823N,TP-LINK 300Mbps Wireless N Mini USB Adapter,TP-LINK 300Mbps Wireless N Mini USB Adapter,49,14.9,TP-LINK,NETWORKING - Wireless Adapter,TL-WN823N,"0152502248,6935364050696,218c361004518",18.0
TL-WN881ND,"TP-Link 300Mbps Wireless N PCI Express Adapter,Atheros, 2T2R, 2 detachable antenna","TP-Link 300Mbps Wireless N PCI Express Adapter,Atheros, 2T2R, 2 detachable antenna",9,19.9,TP-LINK,NETWORKING - Wireless Adapter,TL-WN881ND,"6935364050573,0152502205",24.0
TL-WPA4220KIT,TP-Link 300Mbps AV500 WiFi Powerline Extender Starter Kit,TP-Link 300Mbps AV500 WiFi Powerline Extender Starter Kit,0,123.7,TP-LINK,NETWORKING - POE & EOP,TL-WPA4220KIT,"6935364032883,0165500111",149.0
