Brand Text,Product Code,Description,UOM,Dealer Ex GST,Dealer Inc GST,RRP Inc GST,Indent Or Stocked 
Neutrik,NU-BPX-3,NPX BOOT - ORANGE,EACH,1.4,1.61,2.3,S
Neutrik,NU-BPX-4,NPX BOOT - YELLOW,EACH,1.4,1.61,2.3,S
Neutrik,NU-BPX-5,NPX BOOT - GREEN,EACH,1.4,1.61,2.3,S
Neutrik,NU-BPX-6,NPX BOOT - BLUE,EACH,1.4,1.61,2.3,S
Neutrik,NU-BPX-7,NPX BOOT - VIOLET,EACH,1.4,1.61,2.3,S
Neutrik,NU-BPX-8,NPX BOOT - GREY,EACH,1.4,1.61,2.3,S
Neutrik,NU-BPX-9,NPX BOOT - WHITE,EACH,1.4,1.61,2.3,S
Neutrik,NU-BPX-L,LARGE BUSHING WITH CHUCK TYPE STRAIN RELIEF FOR PX-SERIES (CABLES UP TO O.D. 8MM),EACH,2.13,2.45,3.5,S
Neutrik,NU-BSE-0,"Black boot, suits: NE8MX, NE8MX-B, NE8MC, NE8MC-B",EACH,73.04,84,120,I
Neutrik,NU-BSE-1,"Brown boot, suits: NE8MX, NE8MX-B, NE8MC, NE8MC-B",EACH,0.7,0.81,1.15,S
Neutrik,NU-BSE-2,"Red boot, suits: NE8MX, NE8MX-B, NE8MC, NE8MC-B",EACH,0.7,0.81,1.15,S
Neutrik,NU-BSE-3,"Orange boot, suits: NE8MX, NE8MX-B, NE8MC, NE8MC-B",EACH,0.7,0.81,1.15,S
Neutrik,NU-BSE-4,"Yellow boot, suits: NE8MX, NE8MX-B, NE8MC, NE8MC-B",EACH,0.7,0.81,1.15,S
Neutrik,NU-BSE-5,"Green boot, suits: NE8MX, NE8MX-B, NE8MC, NE8MC-B",EACH,0.7,0.81,1.15,S
Neutrik,NU-BSE-6,"Blue boot, suits: NE8MX, NE8MX-B, NE8MC, NE8MC-B",EACH,0.7,0.81,1.15,S
Neutrik,NU-BSE-7,"Violet boot, suits: NE8MX, NE8MX-B, NE8MC, NE8MC-B",EACH,0.7,0.81,1.15,S
Neutrik,NU-BSE-8,"Grey boot, suits: NE8MX, NE8MX-B, NE8MC, NE8MC-B",EACH,0.7,0.81,1.15,S
Neutrik,NU-BSE-9,"White boot, suits: NE8MX, NE8MX-B, NE8MC, NE8MC-B",EACH,0.7,0.81,1.15,S
Neutrik,NU-BSL-0,"NL4FC bushing, black",EACH,1.34,1.54,2.2,I
Neutrik,NU-BSL-1,"NL4FC bushing, brown",EACH,1.34,1.54,2.2,I
Neutrik,NU-BSL-3,"NL4FC bushing, orange",EACH,1.34,1.54,2.2,I
Neutrik,NU-BSL-4,"NL4FC bushing, yellow",EACH,1.34,1.54,2.2,I
Neutrik,NU-BSL-6,"NL4FC bushing, blue",EACH,1.34,1.54,2.2,I
Neutrik,NU-BSL-7,"NL4FC bushing, violet",EACH,1.34,1.54,2.2,I
Neutrik,NU-BSL-8,"NL4FC bushing, grey",EACH,1.34,1.54,2.2,I
Neutrik,NU-BSL-9,"NL4FC bushing, white",EACH,1.34,1.54,2.2,I
Neutrik,NU-BST-BNC-0,BOOT FOR REAR-TWIST BNC'S BLACK,EACH,1.4,1.61,2.3,S
Neutrik,NU-BST-BNC-1,BOOT FOR REAR-TWIST BNC'S BROWN,EACH,1.4,1.61,2.3,S
Neutrik,NU-BST-BNC-2,BOOT FOR REAR-TWIST BNC'S RED,EACH,1.4,1.61,2.3,S
Neutrik,NU-BST-BNC-3,BOOT FOR REAR-TWIST BNC'S ORANGE,EACH,1.4,1.61,2.3,S
Neutrik,NU-BST-BNC-4,BOOT FOR REAR-TWIST BNC'S YELLOW,EACH,1.4,1.61,2.3,S
Neutrik,NU-BST-BNC-5,BOOT FOR REAR-TWIST BNC'S GREEN,EACH,1.4,1.61,2.3,S
Neutrik,NU-BST-BNC-6,BOOT FOR REAR-TWIST BNC'S BLUE,EACH,1.4,1.61,2.3,S
Neutrik,NU-BST-BNC-7,BOOT FOR REAR-TWIST BNC'S VIOLET,EACH,1.4,1.61,2.3,S
Neutrik,NU-BST-BNC-8,BOOT FOR REAR-TWIST BNC'S GREY,EACH,1.4,1.61,2.3,S
Neutrik,NU-BST-BNC-9,BOOT FOR REAR-TWIST BNC'S WHITE,EACH,1.4,1.61,2.3,S
Neutrik,NU-BSX-1,Brown boot for NE8MX-1,EACH,1.34,1.54,2.2,I
Neutrik,NU-BSX-2,Red boot for NE8MX-1,EACH,1.34,1.54,2.2,I
Neutrik,NU-BSX-3,Orange boot for NE8MX-1,EACH,1.34,1.54,2.2,I
Neutrik,NU-BSX-4,Yellow boot for NE8MX-1,EACH,1.34,1.54,2.2,I
Neutrik,NU-BSX-5,Green boot for NE8MX-1,EACH,1.34,1.54,2.2,I
Neutrik,NU-BSX-6,Blue boot for NE8MX-1,EACH,1.34,1.54,2.2,I
Neutrik,NU-BSX-7,Violet boot for NE8MX-1,EACH,1.34,1.54,2.2,I
Neutrik,NU-BSX-8,Grey boot for NE8MX-1,EACH,1.34,1.54,2.2,I
Neutrik,NU-BSX-9,White boot for NE8MX-1,EACH,1.34,1.54,2.2,I
Neutrik,NU-BTXX,Speed boot assembly tool for XX series,EACH,1400,1610,2300,I
Neutrik,NU-BXX-0,BOOT FOR XX-SERIES BLACK,EACH,1.4,1.61,2.3,S
Neutrik,NU-BXX-1,BOOT FOR XX-SERIES BROWN,EACH,1.4,1.61,2.3,S
Neutrik,NU-BXX-14,LARGE BUSHING WITH CHUCK TYPE STRAIN RELIEF FOR XX-SERIES (8 MM TO 10 MM CABLE O.D.),EACH,2.13,2.45,3.5,S
Neutrik,NU-BXX-2,BOOT FOR XX-SERIES RED,EACH,1.4,1.61,2.3,S
Neutrik,NU-BXX-3,BOOT FOR XX-SERIES ORANGE,EACH,1.4,1.61,2.3,S
Neutrik,NU-BXX-4,BOOT FOR XX-SERIES YELLOW,EACH,1.4,1.61,2.3,S
Neutrik,NU-BXX-5,BOOT FOR XX-SERIES GREEN,EACH,1.4,1.61,2.3,S
Neutrik,NU-BXX-6,BOOT FOR XX-SERIES BLUE,EACH,1.4,1.61,2.3,S
Neutrik,NU-BXX-7,BOOT FOR XX-SERIES VIOLET,EACH,1.4,1.61,2.3,S
Neutrik,NU-BXX-8,BOOT FOR XX-SERIES GREY,EACH,1.4,1.61,2.3,S
Neutrik,NU-BXX-9,BOOT FOR XX-SERIES WHITE,EACH,1.4,1.61,2.3,S
Neutrik,NU-BXX-CR,BLACK XX BOOT WITH CLEAR XXCR CODING RING PACK OF 100 SETS,P100,121.74,140,200,I
Neutrik,NU-CM,CABLE MODULE - SHORT,EACH,10.74,12.36,17.65,I
Neutrik,NU-CS-BNC-RT,Coax cable stripper for rearTWIST BNC 4-8mm OD single braided cables,EACH,334.78,385,550,S
Neutrik,NU-CS-BNC-TCI,COAX CABLE STRIPPER INSERT FOR CABLE O.D. <4.0 MM,EACH,164.35,189,270,I
Neutrik,NU-DBA-BL,BLANK COVER PLATE FOR D-SIZED CUTOUTS,EACH,2.13,2.45,3.5,S
Neutrik,NU-DIE-R-BNC-PDC,CRIMP TOOL DIE SET FOR HX-R-BNC,EACH,413.91,476,680,S
Neutrik,NU-DIE-R-BNC-PG,CRIMP DIES FOR HX-R CRIMP TOOL,EACH,413.91,476,680,I
Neutrik,NU-DIE-R-BNC-PJ,CRIMP DIES FOR HX-R CRIMP TOOL,EACH,394.43,453.6,648,I
Neutrik,NU-DIE-R-BNC-PU,CRIMP TOOL DIE SET FOR HX-R-BNC,EACH,413.91,476,680,S
Neutrik,NU-DIE-R-BNC-PY,CRIMP DIES FOR HX-R CRIMP TOOL,EACH,413.91,476,680,S
Neutrik,NU-DIE-R-BNC-ZPL,Crimp Die Set for HX-R-BNC Crimp Tool: HEX Crimp 9.73 mm Centre Pin Crimp 1.75 mm (Hex),EACH,462.61,532,760,S
Neutrik,NU-DIE-R-BNCX-PU,Die set DIE-R-BNCX-PU,EACH,401.74,462,660,S
Neutrik,NU-DIE-R-HA-1,"Crimp tool die set for XLR XX-HA, requires HX-R-BNC",EACH,413.91,476,680,I
