Manufacturer,Part Number,Short Description,Unit of Measure,NZD MSRP,Dealer's Cost Column 1,Description of Cost for Column 1,Column1,Column2,Column3,Column4,Column5,Column6,Column7,UL/ETL Listed,Currency,DIM Weight,Weight Unit of Measure,SKU/UPC,Model Name,Long Description,Other Description,Serialized Item,Not Available for Sale,Item Status,Manufacturer's Category,Replacement Item Part Number,Replacement Item Model Name,Required Accessories,Optional Accessories,MAP (Minimum Advertised Price),GSA Cost Price,GSA Sell Price,Discount-Off List,Freight Policy,FOB/Ex-works,Freight Class,Drop Ship Y/N?,U.S Energy Star Y/N?,TAA Compliant Y/N?,Certificate of Origin,URL/Link,Manufacturer's Division,InfoComm iQ Category,InfoComm Member Number,Notes,,,
Biamp Systems,424.0165.900,CC-10-B,EA,87,52,NZD MSRP - 40%,,,,,,,,N,NZD,0.113398,Kg,,CC-10-B,10' Plenum Rated Cables - Black,Cabling,n,n,Current,Cambridge,,,,,87,,,,,PO,Standard Freight,n,n,Y,Mexico,https://www.biamp.com,Cambridge,,4911,Contact Biamp for custom length and color cables,,,
Biamp Systems,424.0166.900,CC-10-W,EA,70,42,NZD MSRP - 40%,,,,,,,,N,NZD,0.113398,Kg,,CC-10-W,10' Plenum Rated Cables - White,Cabling,n,n,Current,Cambridge,,,,,70,,,,,PO,Standard Freight,n,n,Y,Mexico,https://www.biamp.com,Cambridge,,4911,Contact Biamp for custom length and color cables,,,
Biamp Systems,424.0171.900,CC-16-W,EA,73,44,NZD MSRP - 40%,,,,,,,,,NZD,,Kg,,CC-16-W,16FT Plenum Rated Cables – White,Sound Masking Accessories,N,N,Current,Cambridge,,,,,73,,,,,PO,Standard Freight,N,N,,Mexico,https://www.biamp.com,Cambridge,,4911,,,,
Biamp Systems,424.0172.900,CC-25-B,EA,70,42,NZD MSRP - 40%,,,,,,,,N,NZD,0.226796,Kg,,CC-25-B,25' Plenum Rated Cables - Black,Cabling,n,n,Current,Cambridge,,,,,70,,,,,PO,Standard Freight,n,n,Y,Mexico,https://www.biamp.com,Cambridge,,4911,Contact Biamp for custom length and color cables,,,
Biamp Systems,424.0173.900,CC-25-W,EA,57,34,NZD MSRP - 40%,,,,,,,,N,NZD,0.226796,Kg,,CC-25-W,25' Plenum Rated Cables - White,Cabling,n,n,Current,Cambridge,,,,,57,,,,,PO,Standard Freight,n,n,Y,Mexico,https://www.biamp.com,Cambridge,,4911,Contact Biamp for custom length and color cables,,,
Biamp Systems,424.0174.900,CC-30-B,EA,293,176,NZD MSRP - 40%,,,,,,,,N,NZD,0.27,Kg,,CC-30-B,30' Plenum Rated Cables - Black,Cabling,n,n,Current,Cambridge,,,,,293,,,,,PO,Standard Freight,n,n,Y,Mexico,https://www.biamp.com,Cambridge,,4911,Contact Biamp for custom length and color cables,,,
Biamp Systems,424.0175.900,CC-30-W,EA,247,148,NZD MSRP - 40%,,,,,,,,N,NZD,0.27,Kg,,CC-30-W,30' Plenum Rated Cables - White,Cabling,n,n,Current,Cambridge,,,,,247,,,,,PO,Standard Freight,n,n,Y,Mexico,https://www.biamp.com,Cambridge,,4911,Contact Biamp for custom length and color cables,,,
Biamp Systems,424.0176.900,CC-50-B,EA,220,132,NZD MSRP - 40%,,,,,,,,N,NZD,0.46,Kg,,CC-50-B,50' Plenum Rated Cables - Black,Cabling,n,n,Current,Cambridge,,,,,220,,,,,PO,Standard Freight,n,n,Y,Mexico,https://www.biamp.com,Cambridge,,4911,Contact Biamp for custom length and color cables,,,
Biamp Systems,424.0177.900,CC-50-W,EA,213,128,NZD MSRP - 40%,,,,,,,,N,NZD,0.46,Kg,,CC-50-W,50' Plenum Rated Cables - White,Cabling,n,n,Current,Cambridge,,,,,213,,,,,PO,Standard Freight,n,n,Y,Mexico,https://www.biamp.com,Cambridge,,4911,Contact Biamp for custom length and color cables,,,
Biamp Systems,424.0178.900,CC-75-B,EA,287,172,NZD MSRP - 40%,,,,,,,,N,NZD,0.680388,Kg,,CC-75-B,75' Plenum Rated Cables - Black,Cabling,n,n,Current,Cambridge,,,,,287,,,,,PO,Standard Freight,n,n,Y,Mexico,https://www.biamp.com,Cambridge,,4911,Contact Biamp for custom length and color cables,,,
